Rank,POS,PLAYER,AllStar,GP,Offensive Role,Rookie,Team,Poss/GM,ePPP,aPPP,_PPP,CPOE,eP/G,aP/G,Rank,%ile,tDPOE,ePA/G,aPA/G,Rank,%ile,ePM/G,aPM/G,POE,sPOE,%ile
267,G,Tony Parker,0,32,Distributors,No,San Antonio Spurs,9.8,0.923,0.863,-0.06,-0.6,9.1,8.5,345,28,-0.2,4.5,4.3,166,65,4.5,4.2,-0.4,-12.8,44.4
369,PG,Isaiah Whitehead,0,15,Distributors,No,Brooklyn Nets,7.7,0.905,0.852,-0.053,-0.4,6.9,6.5,295,39,0.5,4.8,5.4,360,25,2.1,1.1,-0.9,-13.1,23.1
268,SF,Marcus Georges-Hunt,0,33,Glue Guys,No,Minnesota Timberwolves,1.5,0.99,0.824,-0.166,-0.3,1.5,1.3,256,47,0.1,2.2,2.3,274,43,-0.6,-1,-0.4,-13.3,44.2
241,PF,Carmelo Anthony,0,56,Ball Stoppers,No,Oklahoma City Thunder,18.1,0.946,0.941,-0.005,-0.1,17.1,17,221,54,0.1,9.4,9,273,43,7.7,8,-0.2,-13.4,49.8
359,PF,Jordan Mickey,0,17,Bigs-with-Touch,No,Miami Heat,5.2,1.014,0.854,-0.16,-0.8,5.3,4.5,397,17,0,5.2,6,214,55,0.1,-1.5,-0.8,-13.9,25.2
293,C,Richaun Holmes,0,28,Bigs-with-Touch,No,Philadelphia 76ers,6.2,1.067,1.017,-0.049,-0.3,6.6,6.3,268,44,0.2,5.8,5.7,286,40,0.8,0.6,-0.5,-14,39
392,SF,Darrun Hilliard,0,14,Stretch Bigs,No,San Antonio Spurs,1.9,0.962,0.615,-0.347,-0.6,1.8,1.1,352,27,0.4,1.9,2.5,339,29,-0.2,-1.4,-1,-14.3,18.3
345,C,Nerlens Noel,0,19,Unskilled Bigs,No,Dallas Mavericks,3.9,1.035,0.919,-0.116,-0.5,4,3.6,309,36,0.3,5.5,5.4,321,33,-1.5,-1.8,-0.8,-14.6,28.1
253,PF,Jonas Jerebko,0,50,Stretch Bigs,No,Utah Jazz,5.4,1.033,1.077,0.044,0.2,5.6,5.8,135,72,0.5,5.9,6.3,373,22,-0.3,-0.4,-0.3,-14.6,47.3
286,C,Cristiano Felicio,0,31,Roll-and-Cut Bigs,No,Chicago Bulls,3.8,1.012,1,-0.012,0,3.9,3.8,205,57,0.4,5.1,5.2,348,28,-1.3,-1.4,-0.5,-14.7,40.4
244,PG,Jerian Grant,0,57,Distributors,No,Chicago Bulls,9,0.897,0.934,0.037,0.3,8.1,8.4,116,76,0.6,7.2,7.5,387,19,0.9,0.9,-0.3,-15,49.2
245,PF,Thaddeus Young,0,58,Versatile Bigs,No,Indiana Pacers,12.4,1.02,0.97,-0.051,-0.6,12.7,12.1,348,28,-0.4,11.4,11.2,122,75,1.3,0.8,-0.3,-15.2,49
404,PF,Darrell Arthur,0,14,Pick and Pop Bigs,No,Denver Nuggets,4.1,0.989,0.842,-0.147,-0.6,4,3.4,347,28,0.5,3.6,4.2,368,23,0.5,-0.8,-1.1,-15.3,15.8
