Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct,point_lead_count_wins,rebound_lead_count_wins,assist_lead_count_wins,point_lead_count_losses,rebound_lead_count_losses,assist_lead_count_losses,point_lead_count_total,rebound_lead_count_total,assist_lead_count_total,pra,total_pra,total_prank,pra_rank
Kurt Thomas,33,PHO,26.6,7.8,1.1,0.4,1.0,8.6,7.4,0.5,0.0,,0.5,0.8,1.1,3.6,13.1,0.5,15.5,0.3,3.3,16.3,5.6,0.8,2.7,11.7,0.1,-1.2,2006,10.3,0.7,1,3,0.0,,0,0,0.6,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,8.0,0.0,6409.0,2394.5
Matt Carroll,26,CHA,26.1,2.9,1.3,0.7,0.1,12.1,9.1,0.4,3.7,0.4,0.5,0.9,1.0,2.4,14.6,0.6,19.9,0.8,4.6,6.5,8.2,1.5,0.4,8.9,0.1,-0.3,2007,5.0,0.4,0,12,0.0,,0,0,0.9,4.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,4.0,10.0,2777.0,3489.5
Vince Carter,30,NJN,38.1,6.0,4.8,1.0,0.4,25.2,19.5,0.5,5.3,0.4,0.5,0.8,2.6,3.2,21.8,0.6,30.8,4.8,10.5,9.3,25.1,1.4,0.8,10.5,0.2,4.1,2007,12.2,0.5,1,6,0.0,,0,0,1.0,31.0,8.0,4.0,24.0,6.0,6.0,55.0,10.0,14.0,43.0,75.0,549.5,360.0
Tyson Chandler,24,NOK,34.6,12.4,0.9,0.5,1.8,9.5,6.4,0.6,0.0,0.0,0.6,0.5,1.7,3.3,17.0,0.6,12.3,2.9,7.9,20.7,4.1,0.8,4.1,18.5,0.1,2.5,2007,15.6,0.5,0,10,0.0,,0,0,0.9,0.0,27.0,0.0,2.0,29.0,0.0,2.0,0.0,56.0,27.0,2.0,4863.0,775.5
Brevin Knight,31,CHA,28.3,2.6,6.6,1.5,0.1,9.1,8.1,0.4,0.4,0.1,0.4,0.8,2.1,2.5,14.3,0.5,18.4,-0.1,1.8,5.3,37.5,2.7,0.2,18.5,0.1,-2.4,2007,10.8,0.4,0,12,0.0,,0,0,0.5,0.0,0.0,7.0,0.0,0.0,15.0,0.0,22.0,0.0,7.0,44.0,1032.5,2603.5
Juwan Howard,33,HOU,26.5,5.9,1.6,0.4,0.1,9.7,8.3,0.5,0.0,,0.5,0.8,1.4,2.6,12.8,0.5,18.9,0.1,4.9,12.7,10.5,0.7,0.3,13.0,0.1,-1.8,2007,8.0,0.6,1,4,0.0,,0,0,1.0,1.0,6.0,1.0,1.0,3.0,0.0,2.0,1.0,9.0,8.0,4.0,3990.0,2394.5
Larry Hughes,28,CLE,37.1,3.8,3.7,1.3,0.4,14.9,13.6,0.4,3.2,0.3,0.4,0.7,2.2,2.3,12.1,0.5,21.7,1.0,3.9,6.0,16.4,1.8,0.8,12.4,0.1,-0.5,2007,9.2,0.6,1,2,0.0,,0,0,0.9,4.0,0.0,8.0,2.0,1.0,2.0,6.0,10.0,1.0,12.0,26.0,1617.0,1811.5
Andre Iguodala,23,PHI,40.3,5.7,5.7,2.0,0.4,18.2,13.0,0.4,2.0,0.3,0.5,0.8,3.4,2.6,18.1,0.6,22.6,4.1,7.7,8.5,23.8,2.6,0.8,17.5,0.1,3.4,2007,13.8,0.4,0,9,0.0,,0,0,0.9,19.0,3.0,13.0,16.0,8.0,16.0,35.0,29.0,11.0,35.0,93.0,394.5,527.0
Zydrunas Ilgauskas,31,CLE,27.3,7.7,1.6,0.6,1.3,11.9,10.2,0.5,0.0,0.0,0.5,0.8,1.8,3.3,18.0,0.5,21.7,2.1,6.6,16.4,10.2,1.2,3.6,13.8,0.1,2.0,2007,11.2,0.6,1,2,0.0,,0,0,1.0,1.0,11.0,2.0,1.0,7.0,0.0,2.0,2.0,18.0,14.0,6.0,3448.0,1608.0
Jarrett Jack,23,POR,33.6,2.6,5.3,1.1,0.1,12.0,8.9,0.5,2.3,0.3,0.5,0.9,2.4,2.6,14.5,0.6,18.0,1.3,4.8,4.9,26.2,1.8,0.3,18.4,0.1,-0.1,2007,9.1,0.4,0,12,0.0,,0,0,1.0,3.0,0.0,20.0,5.0,0.0,24.0,8.0,44.0,0.0,23.0,96.0,377.0,961.5
Mike James,31,MIN,25.2,2.0,3.6,0.7,0.1,10.1,8.6,0.4,2.6,0.4,0.5,0.8,1.6,2.1,13.3,0.5,20.5,-0.2,2.8,4.7,23.7,1.4,0.3,14.1,0.1,-2.3,2007,6.4,0.4,0,13,0.0,,0,0,1.0,0.0,0.0,3.0,3.0,0.0,10.0,3.0,13.0,0.0,3.0,29.0,1494.0,3932.0
Antawn Jamison,30,WAS,38.0,8.0,1.9,1.1,0.5,19.8,16.3,0.5,5.4,0.4,0.5,0.7,1.5,2.8,18.4,0.5,22.8,1.9,6.8,12.1,8.8,1.5,1.0,7.5,0.1,0.9,2007,11.5,0.5,1,7,0.0,,0,0,0.9,7.0,14.0,2.0,7.0,13.0,0.0,14.0,2.0,27.0,23.0,18.0,2060.5,961.5
Al Jefferson,22,BOS,33.6,11.0,1.3,0.7,1.5,16.0,12.8,0.5,0.0,0.0,0.5,0.7,2.0,3.4,19.8,0.5,22.4,1.5,6.6,19.5,7.2,1.1,3.5,11.8,0.1,0.6,2007,14.5,0.3,0,15,0.0,,0,0,0.8,5.0,14.0,0.0,5.0,32.0,1.0,10.0,1.0,46.0,19.0,12.0,2532.5,1216.0
Richard Jefferson,26,NJN,35.6,4.4,2.7,0.6,0.1,16.3,12.1,0.5,2.6,0.4,0.5,0.7,2.2,2.2,13.8,0.6,22.1,0.1,3.4,7.2,13.1,0.9,0.3,12.9,0.1,-1.8,2007,7.8,0.5,1,6,0.0,,0,0,0.7,3.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,1.0,6.0,9.0,2919.5,2844.5
Joe Johnson,25,ATL,41.4,4.2,4.4,1.1,0.2,25.0,20.0,0.5,5.5,0.4,0.5,0.7,3.1,2.0,19.5,0.6,28.3,2.1,5.1,6.1,21.8,1.4,0.4,12.1,0.1,1.6,2007,9.9,0.4,0,13,0.0,,0,0,0.7,18.0,2.0,12.0,21.0,2.0,10.0,39.0,22.0,4.0,32.0,83.0,474.5,599.0
Chris Kaman,24,LAC,29.0,7.8,1.1,0.5,1.5,10.1,8.7,0.5,0.0,0.0,0.5,0.7,2.0,3.3,12.9,0.5,19.0,-0.3,2.9,16.2,6.1,1.0,4.1,16.4,0.1,-2.5,2007,10.9,0.5,0,9,0.0,,0,0,0.9,0.0,13.0,1.0,0.0,9.0,0.0,0.0,1.0,22.0,14.0,2.0,4863.0,1608.0
Jason Kapono,25,MIA,26.4,2.7,1.2,0.6,0.0,10.9,8.4,0.5,3.1,0.5,0.6,0.9,1.0,2.0,13.8,0.6,17.9,0.6,4.2,6.0,7.9,1.1,0.1,10.5,0.1,-0.7,2007,4.5,0.5,1,5,0.0,,0,0,0.8,2.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,2.0,5.0,9.0,2919.5,3132.0
Jason Kidd,33,NJN,36.7,8.2,9.2,1.6,0.3,13.0,11.4,0.4,4.5,0.3,0.5,0.8,2.7,1.8,19.4,0.5,19.4,5.2,9.3,13.2,41.4,2.3,0.6,17.4,0.2,5.0,2007,19.3,0.5,1,6,0.0,,0,0,1.0,4.0,24.0,33.0,3.0,16.0,31.0,7.0,64.0,40.0,61.0,135.0,127.0,126.5
Andrei Kirilenko,25,UTA,29.3,4.7,2.9,1.1,2.1,8.3,6.0,0.5,1.1,0.2,0.5,0.7,1.9,2.5,14.3,0.6,14.4,3.1,4.4,9.8,14.5,1.9,5.8,20.5,0.1,4.0,2007,10.8,0.6,1,5,0.0,,0,0,0.9,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,3.0,8.0,3073.0,3932.0
Kyle Korver,25,PHI,30.9,3.5,1.4,0.8,0.3,14.4,11.4,0.4,4.1,0.4,0.5,0.9,1.6,2.5,14.2,0.6,21.3,0.9,4.6,6.8,8.0,1.3,0.7,11.1,0.1,-0.5,2007,6.0,0.4,0,9,0.0,,0,0,0.9,5.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,5.0,13.0,2436.5,3132.0
Dwight Howard,21,ORL,36.9,12.3,1.9,0.9,1.9,17.6,10.6,0.6,0.0,0.5,0.6,0.6,3.9,3.0,21.1,0.6,22.7,4.3,9.7,20.5,9.5,1.2,4.2,21.4,0.2,3.6,2007,17.0,0.5,1,8,0.0,,0,0,1.0,14.0,35.0,2.0,17.0,35.0,3.0,31.0,5.0,70.0,51.0,41.0,1121.0,234.0
Nenad Krstic,23,NJN,32.6,6.8,1.8,0.4,0.9,16.4,12.4,0.5,0.0,0.0,0.5,0.7,2.0,3.4,16.9,0.6,23.5,0.1,1.9,12.2,10.2,0.6,2.2,12.1,0.1,-1.5,2007,9.9,0.5,1,6,0.0,,0,0,0.3,1.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,4.0,2.0,3.0,4351.5,4486.5
David Lee,23,NYK,29.8,10.4,1.8,0.8,0.4,10.7,6.9,0.6,0.0,,0.6,0.8,1.6,2.7,20.2,0.7,14.9,2.5,6.9,20.7,10.2,1.5,1.1,16.2,0.2,3.8,2007,13.4,0.4,0,11,0.0,,0,0,0.7,0.0,16.0,1.0,0.0,19.0,0.0,0.0,1.0,35.0,17.0,2.0,4863.0,1377.0
Rashard Lewis,27,SEA,39.1,6.6,2.4,1.1,0.7,22.4,16.8,0.5,6.5,0.4,0.5,0.8,2.0,2.4,20.7,0.6,24.4,3.1,7.6,10.1,10.8,1.5,1.3,9.4,0.2,3.3,2007,10.8,0.4,0,14,0.0,,0,0,0.7,10.0,6.0,2.0,15.0,10.0,2.0,25.0,4.0,16.0,18.0,33.0,1358.5,1295.0
Shaun Livingston,21,LAC,29.8,3.4,5.1,1.1,0.5,9.3,8.3,0.5,0.3,0.3,0.5,0.7,2.0,2.5,13.7,0.5,17.4,0.5,2.4,6.8,28.3,1.9,1.4,17.8,0.1,-0.9,2007,10.1,0.5,0,9,0.0,,0,0,0.7,0.0,0.0,11.0,3.0,0.0,13.0,3.0,24.0,0.0,11.0,51.0,873.0,1917.0
Tyronn Lue,29,ATL,26.6,1.9,3.6,0.4,0.0,11.4,9.4,0.4,2.9,0.3,0.5,0.9,1.5,1.8,14.1,0.5,21.0,-0.4,2.5,4.2,23.9,0.9,0.0,12.5,0.1,-3.2,2007,5.9,0.4,0,13,0.0,,0,0,0.7,1.0,0.0,4.0,2.0,0.0,12.0,3.0,16.0,0.0,5.0,35.0,1289.0,3132.0
Corey Maggette,27,LAC,30.5,5.9,2.8,0.9,0.2,16.9,10.8,0.5,0.9,0.2,0.5,0.8,2.7,3.3,18.6,0.6,26.0,1.3,7.0,11.5,15.9,1.5,0.5,15.6,0.1,0.2,2007,9.8,0.5,0,9,0.0,,0,0,0.9,9.0,5.0,5.0,12.0,4.0,4.0,21.0,9.0,9.0,19.0,39.0,1173.0,1216.0
Stephon Marbury,29,NYK,37.1,2.9,5.4,1.0,0.1,16.4,12.9,0.4,4.7,0.4,0.5,0.8,2.4,2.5,15.3,0.5,21.5,1.5,5.9,4.6,25.2,1.4,0.3,13.8,0.1,0.1,2007,9.4,0.4,0,11,0.0,,0,0,0.9,9.0,0.0,17.0,10.0,0.0,21.0,19.0,38.0,0.0,26.0,95.0,385.0,820.0
Shawn Marion,28,PHO,37.6,9.8,1.7,2.0,1.5,17.5,13.4,0.5,3.2,0.3,0.6,0.8,1.4,2.7,20.8,0.6,19.3,5.7,12.0,15.2,6.7,2.6,2.8,8.8,0.2,5.5,2007,15.0,0.7,1,2,0.0,,0,0,1.0,11.0,26.0,0.0,1.0,7.0,0.0,12.0,0.0,33.0,37.0,12.0,2532.5,479.0
Kenyon Martin,29,DEN,31.5,10.0,0.5,0.0,0.0,9.5,8.0,0.5,0.5,0.0,0.5,0.2,2.5,5.0,5.4,0.4,17.9,-0.1,0.0,17.9,2.4,0.0,0.0,19.0,-0.0,-10.2,2007,10.5,0.5,1,6,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6409.0,6437.0
Kevin Martin,23,SAC,35.2,4.3,2.2,1.2,0.1,20.2,13.3,0.5,4.2,0.4,0.5,0.8,1.7,2.3,20.1,0.6,23.2,3.2,10.2,7.1,10.9,1.8,0.3,9.3,0.2,2.4,2007,7.8,0.4,0,11,0.0,,0,0,1.0,18.0,2.0,1.0,15.0,5.0,5.0,33.0,6.0,7.0,21.0,45.0,1003.5,1086.0
Desmond Mason,29,NOK,34.3,4.6,1.5,0.7,0.3,13.7,12.0,0.5,0.0,,0.5,0.7,2.6,2.3,10.8,0.5,21.9,-1.0,0.6,7.7,7.6,1.1,0.7,15.6,0.0,-3.5,2007,7.1,0.5,0,10,0.0,,0,0,0.9,5.0,0.0,0.0,5.0,2.0,0.0,10.0,0.0,2.0,5.0,10.0,2777.0,3132.0
Brad Miller,30,SAC,28.3,6.4,3.6,0.6,0.6,9.0,7.8,0.5,0.5,0.2,0.5,0.8,1.7,2.5,13.5,0.5,16.8,0.8,2.7,13.2,20.4,1.1,1.7,16.2,0.1,-0.1,2007,11.2,0.4,0,11,0.0,,0,0,0.8,2.0,4.0,7.0,1.0,11.0,7.0,3.0,14.0,15.0,13.0,31.0,1432.5,1707.0
Mike Miller,26,MEM,39.1,5.4,4.3,0.8,0.3,18.5,14.4,0.5,7.1,0.4,0.6,0.8,2.6,2.0,16.4,0.6,21.1,2.8,4.8,8.2,18.7,1.0,0.5,14.0,0.1,2.1,2007,10.8,0.3,0,15,0.0,,0,0,0.9,7.0,2.0,3.0,18.0,10.0,11.0,25.0,14.0,12.0,12.0,53.0,845.5,1811.5
Josh Howard,26,DAL,35.1,6.8,1.8,1.2,0.8,18.9,15.4,0.5,3.4,0.4,0.5,0.8,1.8,2.6,20.0,0.5,25.2,3.0,8.8,11.7,9.2,1.8,1.7,9.3,0.2,2.8,2007,10.6,0.8,1,1,0.0,,0,0,0.9,16.0,11.0,0.0,1.0,2.0,1.0,17.0,1.0,13.0,27.0,19.0,1995.0,775.5
Kirk Hinrich,26,CHI,35.5,3.4,6.3,1.3,0.3,16.6,13.3,0.4,4.2,0.4,0.5,0.8,2.4,3.4,17.0,0.6,21.6,3.5,10.1,5.5,29.2,1.8,0.6,13.9,0.2,2.9,2007,11.3,0.6,1,3,0.0,,0,0,1.0,7.0,0.0,26.0,8.0,1.0,22.0,15.0,48.0,1.0,33.0,111.0,274.0,568.0
Josh Childress,23,ATL,36.8,6.2,2.3,1.1,0.7,13.0,9.4,0.5,1.4,0.3,0.5,0.8,1.5,2.1,16.2,0.6,15.7,2.0,5.5,10.1,10.8,1.5,1.4,11.6,0.1,2.0,2007,10.3,0.4,0,13,0.0,,0,0,0.7,2.0,2.0,1.0,4.0,5.0,6.0,6.0,7.0,7.0,5.0,20.0,1939.0,3132.0
Channing Frye,23,NYK,26.3,5.5,0.9,0.5,0.6,9.5,9.6,0.4,0.3,0.2,0.4,0.8,1.4,3.0,10.5,0.5,20.0,-1.3,0.9,12.4,6.2,1.0,1.8,12.0,0.0,-4.7,2007,7.5,0.4,0,11,0.0,,0,0,0.9,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,2.0,1.0,5511.0,4486.5
Speedy Claxton,28,ATL,25.1,1.9,4.4,1.7,0.1,5.3,6.6,0.3,0.7,0.2,0.3,0.6,1.8,3.1,7.3,0.4,16.6,-0.8,-0.7,4.6,28.1,3.6,0.3,19.8,-0.0,-5.1,2007,8.1,0.4,0,13,0.0,,0,0,0.5,0.0,0.0,4.0,1.0,0.0,10.0,1.0,14.0,0.0,4.0,29.0,1494.0,3489.5
Nick Collison,26,SEA,29.0,8.1,1.0,0.6,0.8,9.6,7.8,0.5,0.0,0.0,0.5,0.8,1.5,3.5,14.2,0.5,16.2,0.7,4.6,16.8,5.4,1.1,2.1,14.5,0.1,-0.8,2007,10.5,0.4,0,14,0.0,,0,0,1.0,2.0,9.0,0.0,1.0,17.0,0.0,3.0,0.0,26.0,11.0,3.0,4351.5,1917.0
Jamal Crawford,26,NYK,37.3,3.2,4.4,1.0,0.1,17.6,15.0,0.4,5.5,0.3,0.5,0.8,2.7,1.9,14.5,0.5,24.1,0.7,3.1,5.1,20.9,1.4,0.3,13.9,0.1,-0.6,2007,8.7,0.4,0,11,0.0,,0,0,0.7,6.0,0.0,8.0,12.0,0.0,13.0,18.0,21.0,0.0,14.0,60.0,737.0,1608.0
Eddy Curry,24,NYK,35.2,7.0,0.8,0.4,0.5,19.5,12.5,0.6,0.0,1.0,0.6,0.6,3.6,3.3,17.0,0.6,25.5,-0.6,4.7,11.9,4.6,0.6,1.1,18.4,0.1,-2.9,2007,8.7,0.4,0,11,0.0,,0,0,1.0,12.0,7.0,0.0,14.0,7.0,0.0,26.0,0.0,14.0,19.0,26.0,1617.0,1216.0
Samuel Dalembert,25,PHI,30.9,8.9,0.8,0.6,1.9,10.7,8.0,0.5,0.0,0.0,0.5,0.7,2.0,3.5,16.1,0.6,16.7,1.6,6.2,17.4,4.2,1.0,4.8,17.5,0.1,0.6,2007,12.2,0.4,0,9,0.0,,0,0,1.0,0.0,19.0,0.0,1.0,22.0,0.0,1.0,0.0,41.0,19.0,1.0,5511.0,1216.0
Erick Dampier,31,DAL,25.2,7.4,0.6,0.3,1.1,7.1,4.4,0.6,0.0,,0.6,0.6,1.4,3.1,14.9,0.6,12.8,1.9,6.4,17.8,3.5,0.7,3.3,20.4,0.2,2.0,2007,9.4,0.8,1,1,0.0,,0,0,0.9,1.0,16.0,0.0,0.0,2.0,0.0,1.0,0.0,18.0,17.0,1.0,5511.0,1377.0
Ricky Davis,27,MIN,37.3,3.9,4.8,1.0,0.3,17.0,13.4,0.5,3.8,0.4,0.5,0.8,2.6,2.3,15.9,0.6,21.9,2.2,5.7,6.2,21.9,1.4,0.6,14.7,0.1,0.9,2007,10.0,0.4,0,13,0.0,,0,0,1.0,11.0,0.0,13.0,9.0,0.0,14.0,20.0,27.0,0.0,24.0,74.0,563.0,908.5
Luol Deng,21,CHI,37.5,7.1,2.5,1.2,0.6,18.8,14.9,0.5,0.1,0.1,0.5,0.8,1.9,2.0,18.7,0.6,22.2,3.6,11.3,10.8,11.8,1.6,1.2,10.0,0.2,2.7,2007,11.4,0.6,1,3,0.0,,0,0,1.0,14.0,9.0,1.0,5.0,7.0,1.0,19.0,2.0,16.0,24.0,23.0,1761.5,908.5
Boris Diaw,24,PHO,31.1,4.3,4.8,0.4,0.5,9.7,7.8,0.5,0.6,0.3,0.6,0.7,2.1,2.4,13.0,0.6,15.4,1.7,4.6,8.1,21.7,0.6,1.2,19.9,0.1,1.0,2007,10.0,0.7,1,2,0.0,,0,0,0.9,0.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,12.0,2532.5,2603.5
Monta Ellis,21,GSW,34.3,3.2,4.1,1.7,0.3,16.5,13.1,0.5,1.9,0.3,0.5,0.8,2.9,2.7,15.0,0.5,22.4,0.7,4.0,5.1,18.8,2.4,0.6,15.9,0.1,-1.0,2007,9.3,0.5,1,8,0.0,,0,0,0.9,3.0,1.0,1.0,14.0,0.0,7.0,17.0,8.0,1.0,5.0,33.0,1358.5,3132.0
Raymond Felton,22,CHA,36.3,3.4,7.0,1.5,0.1,14.0,13.1,0.4,4.0,0.3,0.4,0.8,2.9,2.3,13.5,0.5,21.9,1.0,2.3,5.6,32.0,2.2,0.3,16.8,0.0,-0.7,2007,12.0,0.4,0,12,0.0,,0,0,1.0,5.0,0.0,18.0,6.0,0.0,25.0,11.0,43.0,0.0,23.0,97.0,369.5,961.5
Derek Fisher,32,UTA,27.9,1.8,3.3,1.0,0.1,10.1,8.2,0.4,1.9,0.3,0.4,0.9,1.5,2.9,11.4,0.5,18.2,0.2,3.9,4.0,18.1,1.9,0.2,12.9,0.1,-1.6,2007,6.2,0.6,1,5,0.0,,0,0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,4.0,0.0,2.0,10.0,2777.0,4486.5
T.J. Ford,23,TOR,29.9,3.1,7.9,1.3,0.1,14.0,12.0,0.4,0.9,0.3,0.4,0.8,3.1,2.5,18.2,0.5,26.1,1.5,4.3,6.2,44.8,2.3,0.3,18.3,0.1,0.6,2007,12.4,0.6,1,4,0.0,,0,0,0.9,3.0,1.0,29.0,7.0,2.0,23.0,10.0,52.0,3.0,33.0,114.0,255.0,568.0
Steve Francis,29,NYK,28.1,3.6,3.9,0.9,0.3,11.3,7.8,0.4,2.5,0.4,0.5,0.8,2.3,2.9,15.1,0.6,19.7,0.8,2.9,7.5,22.4,1.8,0.8,18.7,0.1,0.7,2007,8.7,0.4,0,11,0.0,,0,0,0.5,2.0,0.0,3.0,4.0,2.0,6.0,6.0,9.0,2.0,5.0,24.0,1714.0,3132.0
Jorge Garbajosa,29,TOR,28.5,4.9,1.9,1.2,0.2,8.5,7.9,0.4,2.9,0.3,0.5,0.7,1.0,1.3,12.1,0.5,15.2,1.4,3.0,10.2,10.1,2.1,0.6,10.2,0.1,0.8,2007,8.2,0.6,1,4,0.0,,0,0,0.8,0.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,3.0,4351.5,3932.0
Grant Hill,34,ORL,30.9,3.6,2.1,0.9,0.4,14.4,10.2,0.5,0.2,0.2,0.5,0.8,2.2,2.2,16.3,0.6,21.8,1.1,5.1,7.3,12.3,1.6,1.0,15.2,0.1,0.1,2007,7.0,0.5,1,8,0.0,,0,0,0.8,7.0,0.0,1.0,9.0,1.0,5.0,16.0,6.0,1.0,8.0,28.0,1530.5,2394.5
Pau Gasol,26,MEM,36.2,9.8,3.4,0.5,2.1,20.8,14.5,0.5,0.2,0.3,0.5,0.7,2.7,2.3,24.1,0.6,25.3,3.3,6.9,16.3,17.7,0.7,4.5,13.5,0.2,4.2,2007,15.8,0.3,0,15,0.0,,0,0,0.7,6.0,10.0,2.0,19.0,29.0,7.0,25.0,9.0,39.0,18.0,43.0,1059.5,1295.0
Rudy Gay,20,MEM,27.0,4.5,1.3,0.9,0.9,10.8,9.7,0.4,1.8,0.4,0.5,0.7,1.8,2.5,12.4,0.5,21.3,-0.3,0.5,9.9,8.0,1.7,2.7,14.1,0.0,-2.5,2007,7.6,0.3,0,15,0.0,,0,0,1.0,1.0,0.0,0.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,6.0,3448.0,5338.0
Manu Ginobili,29,SAS,27.5,4.4,3.5,1.5,0.4,16.5,11.4,0.5,4.3,0.4,0.5,0.9,2.1,2.1,24.1,0.6,27.1,4.8,10.6,9.6,22.6,2.8,1.0,13.4,0.2,7.2,2007,9.8,0.7,1,3,0.0,,0,0,0.9,13.0,0.0,9.0,7.0,0.0,2.0,20.0,11.0,0.0,22.0,42.0,1088.5,1023.5
Ryan Gomes,24,BOS,31.2,5.6,1.6,0.7,0.2,12.1,9.9,0.5,0.6,0.4,0.5,0.8,1.4,2.3,13.7,0.5,18.5,0.5,4.2,10.7,9.2,1.1,0.4,11.3,0.1,-1.2,2007,8.1,0.3,0,15,0.0,,0,0,0.9,1.0,4.0,1.0,6.0,5.0,1.0,7.0,2.0,9.0,6.0,11.0,2642.5,2844.5
Drew Gooden,25,CLE,28.0,8.5,1.1,0.9,0.4,11.1,9.8,0.5,0.1,0.2,0.5,0.7,1.4,2.6,16.5,0.5,20.0,1.1,6.5,17.7,6.7,1.7,1.0,11.7,0.1,0.0,2007,10.9,0.6,1,2,0.0,,0,0,1.0,5.0,17.0,0.0,1.0,14.0,0.0,6.0,0.0,31.0,22.0,6.0,3448.0,1023.5
Ben Gordon,23,CHI,33.0,3.1,3.6,0.8,0.2,21.4,16.3,0.5,4.6,0.4,0.5,0.9,3.0,3.1,18.2,0.6,29.3,2.4,8.6,5.4,20.1,1.2,0.5,14.0,0.2,1.4,2007,7.7,0.6,1,3,0.0,,0,0,1.0,23.0,0.0,9.0,18.0,1.0,5.0,41.0,14.0,1.0,32.0,69.0,615.0,599.0
Danny Granger,23,IND,34.0,4.6,1.4,0.8,0.7,13.9,10.6,0.5,3.5,0.4,0.5,0.8,1.6,3.0,13.9,0.6,18.2,2.0,6.5,7.9,7.0,1.2,1.7,11.9,0.1,0.9,2007,7.5,0.4,0,10,0.0,,0,0,1.0,4.0,0.0,1.0,3.0,2.0,0.0,7.0,1.0,2.0,5.0,9.0,2919.5,3132.0
Richard Hamilton,28,DET,36.8,3.8,3.8,0.8,0.2,19.8,15.6,0.5,1.7,0.3,0.5,0.9,2.1,3.1,18.1,0.6,25.9,2.2,8.1,6.1,19.0,1.2,0.4,10.6,0.1,1.1,2007,8.6,0.6,1,1,0.0,,0,0,0.9,19.0,2.0,7.0,11.0,1.0,4.0,30.0,11.0,3.0,28.0,52.0,856.5,738.0
Matt Harpring,30,UTA,25.5,4.6,1.3,0.7,0.1,11.6,8.5,0.5,0.5,0.3,0.5,0.8,1.5,3.0,14.7,0.6,20.8,0.6,4.7,10.9,8.2,1.4,0.5,13.0,0.1,-0.8,2007,6.7,0.6,1,5,0.0,,0,0,0.9,1.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,2.0,3.0,4351.5,4486.5
Devin Harris,23,DAL,26.0,2.5,3.7,1.2,0.3,10.2,7.4,0.5,0.6,0.3,0.5,0.8,1.8,3.0,16.0,0.6,19.1,2.1,6.5,5.7,22.9,2.5,0.8,17.1,0.2,1.9,2007,7.7,0.8,1,1,0.0,,0,0,1.0,1.0,0.0,9.0,0.0,0.0,6.0,1.0,15.0,0.0,10.0,31.0,1432.5,2045.0
Udonis Haslem,26,MIA,31.4,8.3,1.2,0.6,0.3,10.7,9.1,0.5,0.1,0.0,0.5,0.7,1.4,3.0,13.7,0.5,17.5,0.2,5.1,15.5,6.6,1.1,0.8,12.0,0.1,-1.7,2007,10.4,0.5,1,5,0.0,,0,0,1.0,2.0,18.0,0.0,0.0,13.0,2.0,2.0,2.0,31.0,20.0,6.0,3448.0,1150.5
Trenton Hassell,27,MIN,29.3,3.2,2.7,0.3,0.3,6.7,5.8,0.5,0.3,0.2,0.5,0.8,1.1,1.9,9.7,0.5,11.8,0.1,2.6,6.5,14.0,0.5,0.9,14.2,0.1,-1.8,2007,6.5,0.4,0,13,0.0,,0,0,0.9,0.0,0.0,2.0,0.0,2.0,6.0,0.0,8.0,2.0,2.0,16.0,2200.5,4486.5
Luther Head,24,HOU,27.6,3.2,2.4,1.0,0.1,10.9,8.8,0.4,5.0,0.4,0.6,0.8,1.7,1.7,13.7,0.6,18.6,2.0,5.7,6.6,14.8,1.8,0.2,15.5,0.1,1.5,2007,6.7,0.6,1,4,0.0,,0,0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,4.0,10.0,2777.0,3489.5
Nene Hilario,24,DEN,26.8,7.0,1.2,1.0,0.9,12.2,8.1,0.6,0.0,0.0,0.6,0.7,2.0,3.3,17.8,0.6,19.2,1.5,5.3,14.7,7.1,1.8,2.5,16.5,0.1,1.5,2007,10.1,0.5,1,6,0.0,,0,0,0.8,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,14.0,9.0,0.0,6409.0,2207.0
