Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
Alec Burks,22,UTA,28.1,3.3,2.7,0.9,0.2,14.0,10.7,0.5,1.8,0.3,0.5,0.7,1.9,2.4,15.8,0.5,23.9,0.5,3.2,6.8,16.9,1.7,0.5,13.0,0.1,-1.2,2014,7.1,0.3,0,15,0.0,,0,0,1.0
Serge Ibaka,24,OKC,32.9,8.8,1.0,0.5,2.7,15.1,12.1,0.5,0.7,0.4,0.5,0.8,1.5,2.9,19.6,0.6,19.8,2.6,9.6,15.0,5.2,0.7,6.7,10.3,0.2,1.9,2014,13.0,0.7,1,2,0.0,,0,0,1.0
Richard Jefferson,33,UTA,27.0,2.7,1.6,0.7,0.2,10.1,8.0,0.5,3.7,0.4,0.5,0.7,1.1,2.0,11.8,0.6,16.9,0.3,2.7,5.7,9.6,1.3,0.5,11.5,0.1,-1.4,2014,5.2,0.3,0,15,0.0,,0,0,1.0
Reggie Jackson,23,OKC,28.5,3.9,4.1,1.1,0.1,13.1,11.5,0.4,3.1,0.3,0.5,0.9,2.1,1.8,15.4,0.5,22.6,0.9,4.9,7.8,23.1,1.9,0.3,14.5,0.1,-0.4,2014,9.2,0.7,1,2,0.0,,0,0,1.0
Jarrett Jack,30,CLE,28.2,2.8,4.1,0.7,0.3,9.5,8.7,0.4,2.3,0.3,0.5,0.8,1.7,1.7,11.5,0.5,17.8,-0.2,2.3,5.6,22.7,1.3,0.8,14.8,0.0,-2.3,2014,7.9,0.4,0,10,0.0,,0,0,1.0
Kyrie Irving,21,CLE,35.2,3.6,6.1,1.5,0.3,20.8,17.4,0.4,4.8,0.4,0.5,0.9,2.7,2.3,20.1,0.5,28.2,3.3,6.7,5.8,31.6,2.2,0.8,12.1,0.1,3.2,2014,11.5,0.4,0,10,0.0,,0,0,0.9
Ersan Ilyasova,26,MIL,26.9,6.2,1.3,0.8,0.1,11.2,10.5,0.4,2.4,0.3,0.4,0.8,1.1,2.5,13.8,0.5,21.3,-0.5,1.6,13.3,8.4,1.6,0.4,8.7,0.1,-3.2,2014,8.4,0.2,0,15,0.0,,0,0,0.7
Andre Iguodala,30,GSW,32.4,4.7,4.2,1.5,0.3,9.3,7.3,0.5,2.8,0.4,0.5,0.7,1.6,1.6,13.7,0.6,13.3,2.6,5.8,7.8,18.2,2.3,0.7,16.2,0.1,3.0,2014,10.7,0.6,1,6,0.0,,0,0,0.8
Dwight Howard,28,HOU,33.7,12.2,1.8,0.8,1.8,18.3,11.3,0.6,0.1,0.3,0.6,0.5,3.2,3.4,21.3,0.6,24.0,2.4,8.0,20.1,9.3,1.2,4.0,17.5,0.2,1.9,2014,16.6,0.7,1,5,0.0,,0,0,0.9
Shawn Marion,35,DAL,31.7,6.5,1.6,1.2,0.5,10.4,9.3,0.5,2.1,0.4,0.5,0.8,1.3,1.6,13.7,0.5,15.7,1.9,4.3,11.9,7.6,1.9,1.3,11.4,0.1,1.1,2014,9.8,0.6,1,8,0.0,,0,0,0.9
Al Horford,27,ATL,33.0,8.4,2.6,0.9,1.5,18.6,14.5,0.6,0.4,0.4,0.6,0.7,2.2,1.9,22.0,0.6,24.7,1.1,2.8,14.8,15.2,1.4,3.6,12.3,0.1,2.8,2014,13.4,0.5,1,8,0.0,,0,0,0.4
Jrue Holiday,23,NOP,33.6,4.2,7.9,1.6,0.4,14.3,13.4,0.4,2.3,0.4,0.5,0.8,3.1,2.7,17.1,0.5,23.3,0.8,1.5,7.2,38.9,2.6,0.9,17.9,0.1,0.7,2014,14.1,0.4,0,12,0.0,,0,0,0.4
Kirk Hinrich,33,CHI,29.0,2.6,3.9,1.1,0.4,9.1,8.5,0.4,3.3,0.4,0.5,0.8,1.6,2.8,10.8,0.5,17.3,0.6,3.8,5.2,22.6,2.0,1.0,15.1,0.1,-0.8,2014,8.0,0.6,1,4,0.0,,0,0,0.9
George Hill,27,IND,32.0,3.7,3.5,1.0,0.3,10.3,8.1,0.4,3.4,0.4,0.5,0.8,1.2,2.1,13.4,0.6,14.8,2.7,7.8,6.5,17.2,1.6,0.7,11.7,0.2,2.4,2014,8.5,0.7,1,1,0.0,,0,0,0.9
Nene Hilario,31,WAS,29.4,5.5,2.9,1.2,0.9,14.2,11.2,0.5,0.1,0.2,0.5,0.6,2.2,3.1,16.6,0.5,24.0,0.9,3.2,10.9,16.3,2.1,2.5,14.1,0.1,0.2,2014,10.5,0.5,1,6,0.0,,0,0,0.6
J.J. Hickson,25,DEN,26.9,9.2,1.4,0.7,0.7,11.8,9.5,0.5,0.1,0.0,0.5,0.5,1.9,2.6,16.2,0.5,20.8,0.6,3.3,18.3,8.4,1.2,2.0,14.1,0.1,-0.8,2014,12.0,0.4,0,11,0.0,,0,0,0.8
Brandon Jennings,24,DET,34.1,3.1,7.6,1.3,0.1,15.5,14.2,0.4,5.7,0.3,0.4,0.8,2.7,2.0,15.6,0.5,23.4,1.0,3.9,4.9,34.4,1.9,0.2,14.4,0.1,-0.5,2014,12.1,0.4,0,11,0.0,,0,0,1.0
Amir Johnson,26,TOR,28.8,6.6,1.5,0.7,1.1,10.4,7.9,0.6,0.9,0.3,0.6,0.6,1.6,3.5,15.4,0.6,16.4,2.6,6.3,13.3,8.7,1.3,3.2,15.4,0.1,2.6,2014,9.9,0.6,1,3,0.0,,0,0,0.9
Joe Johnson,32,BRK,32.6,3.4,2.7,0.6,0.1,15.8,12.9,0.5,5.1,0.4,0.5,0.8,1.5,1.6,15.5,0.6,22.3,1.2,4.9,6.3,15.0,1.0,0.3,9.8,0.1,-0.2,2014,6.8,0.5,1,5,0.0,,0,0,1.0
Wesley Johnson,26,LAL,28.4,4.4,1.6,1.1,1.0,9.1,8.2,0.4,3.4,0.4,0.5,0.8,1.1,2.6,11.0,0.5,15.1,1.2,1.9,8.3,8.2,1.9,2.5,11.6,0.0,0.2,2014,8.1,0.3,0,14,0.0,,0,0,1.0
Terrence Jones,22,HOU,27.3,6.9,1.1,0.7,1.3,12.1,9.4,0.5,1.3,0.3,0.6,0.6,0.9,1.8,19.1,0.6,18.3,2.2,7.3,14.1,7.0,1.3,3.5,8.2,0.2,2.2,2014,10.0,0.7,1,5,0.0,,0,0,0.9
DeAndre Jordan,25,LAC,35.0,13.6,0.9,1.0,2.5,10.4,6.3,0.7,0.0,,0.7,0.4,1.5,3.2,18.2,0.6,12.4,4.4,11.1,21.6,3.7,1.4,5.4,15.3,0.2,4.1,2014,18.0,0.7,1,3,0.0,,0,0,1.0
Enes Kanter,21,UTA,26.7,7.5,0.9,0.4,0.5,12.3,10.7,0.5,0.0,0.0,0.5,0.7,1.8,2.9,15.6,0.5,23.3,-1.0,2.2,16.1,6.4,0.7,1.5,13.3,0.1,-3.9,2014,9.3,0.3,0,15,0.0,,0,0,1.0
Brandon Knight,22,MIL,33.3,3.5,4.9,1.0,0.2,17.9,15.2,0.4,4.7,0.3,0.5,0.8,2.6,2.0,16.5,0.5,26.8,0.7,2.8,6.1,26.6,1.5,0.6,13.2,0.1,-0.9,2014,9.6,0.2,0,15,0.0,,0,0,0.9
Kyle Korver,32,ATL,33.9,4.0,2.9,1.0,0.3,12.0,8.6,0.5,5.5,0.5,0.6,0.9,1.4,2.1,13.5,0.7,14.2,2.5,5.9,6.8,13.3,1.5,0.8,13.6,0.1,2.2,2014,8.2,0.5,1,8,0.0,,0,0,0.9
Ty Lawson,26,DEN,35.8,3.5,8.8,1.6,0.2,17.6,13.0,0.4,3.3,0.4,0.5,0.8,3.2,1.8,19.0,0.6,22.7,2.1,6.3,5.2,38.2,2.2,0.3,16.9,0.1,1.7,2014,14.1,0.4,0,11,0.0,,0,0,0.8
